"CELL_SEQ","UPLOAD_SEQ","ROW_IDX","COL_TYPE","COL_SEQ","CELL_VALUE","BG_COLOR"
45,1,2,SPEC,1,RDIMM,
46,1,2,SPEC,2,"1B P-DIE",
47,1,2,SPEC,3,WC,
48,1,2,SPEC,4,"32GB",
49,1,2,SPEC,5,"1RX4",
50,1,2,SPEC,6,"6400",
51,1,2,CHIP,1,,#E8E8E8
52,1,2,CHIP,2,"02 '24",#0070C0
53,1,2,CHIP,3,"03 '25",#FF6600
54,1,2,CHIP,4,"03 '25",#FF6600
55,1,2,CHIP,5,,#E8E8E8
56,1,2,CHIP,6,,#E8E8E8
57,1,2,CHIP,7,,#E8E8E8
58,1,2,CHIP,8,,#E8E8E8
59,1,2,CHIP,9,,#E8E8E8
60,1,2,CHIP,10,,#E8E8E8
61,1,2,CHIP,11,,#E8E8E8
62,1,2,CHIP,12,,#E8E8E8
63,1,2,CHIP,13,"04 '24",#0070C0
64,1,2,CHIP,14,"04 '24",#0070C0
65,1,2,CHIP,15,,#E8E8E8
66,1,2,CHIP,16,,#E8E8E8
67,1,3,SPEC,1,RDIMM,
68,1,3,SPEC,2,"2A P-DIE",
69,1,3,SPEC,3,WC,
70,1,3,SPEC,4,"64GB",
71,1,3,SPEC,5,"2RX4",
72,1,3,SPEC,6,"6400",
73,1,3,CHIP,1,,#E8E8E8
74,1,3,CHIP,2,"06 '24",#0070C0
75,1,3,CHIP,3,"06 '25",#FF6600
76,1,3,CHIP,4,"06 '25",#FF6600
77,1,3,CHIP,5,"07 '25",#FF6600
78,1,3,CHIP,6,,#E8E8E8
79,1,3,CHIP,7,,#E8E8E8
80,1,3,CHIP,8,,#E8E8E8
81,1,3,CHIP,9,,#E8E8E8
82,1,3,CHIP,10,,#E8E8E8
83,1,3,CHIP,11,,#E8E8E8
84,1,3,CHIP,12,,#E8E8E8
85,1,3,CHIP,13,"07 '24",#0070C0
86,1,3,CHIP,14,"07 '24",#0070C0
87,1,3,CHIP,15,"07 '24",#0070C0
88,1,3,CHIP,16,,#E8E8E8
89,1,4,SPEC,1,RDIMM,
90,1,4,SPEC,2,"2A P-DIE",
91,1,4,SPEC,3,WC,
92,1,4,SPEC,4,"128GB",
93,1,4,SPEC,5,"2RX8",
94,1,4,SPEC,6,"6400",
95,1,4,CHIP,1,,#E8E8E8
96,1,4,CHIP,2,,#E8E8E8
97,1,4,CHIP,3,"08 '25",#FF6600
98,1,4,CHIP,4,"08 '25",#FF6600
99,1,4,CHIP,5,"08 '25",#FF6600
100,1,4,CHIP,6,,#E8E8E8
101,1,4,CHIP,7,,#E8E8E8
102,1,4,CHIP,8,,#E8E8E8
103,1,4,CHIP,9,,#E8E8E8
104,1,4,CHIP,10,,#E8E8E8
105,1,4,CHIP,11,,#E8E8E8
106,1,4,CHIP,12,,#E8E8E8
107,1,4,CHIP,13,,#E8E8E8
108,1,4,CHIP,14,"08 '24",#0070C0
109,1,4,CHIP,15,"08 '24",#0070C0
110,1,4,CHIP,16,,#E8E8E8
111,1,5,SPEC,1,RDIMM,
112,1,5,SPEC,2,"3A P-DIE",
113,1,5,SPEC,3,ES,
114,1,5,SPEC,4,"64GB",
115,1,5,SPEC,5,"1RX4",
116,1,5,SPEC,6,"7200",
117,1,5,CHIP,1,,#E8E8E8
118,1,5,CHIP,2,,#E8E8E8
119,1,5,CHIP,3,,#E8E8E8
120,1,5,CHIP,4,,#E8E8E8
121,1,5,CHIP,5,,#E8E8E8
122,1,5,CHIP,6,"09 '24",#0070C0
123,1,5,CHIP,7,"10 '25",#FF6600
124,1,5,CHIP,8,,#E8E8E8
125,1,5,CHIP,9,,#E8E8E8
126,1,5,CHIP,10,,#E8E8E8
127,1,5,CHIP,11,,#E8E8E8
128,1,5,CHIP,12,,#E8E8E8
129,1,5,CHIP,13,,#E8E8E8
130,1,5,CHIP,14,,#E8E8E8
131,1,5,CHIP,15,"09 '24",#0070C0
132,1,5,CHIP,16,,#E8E8E8
133,1,6,SPEC,1,RDIMM,
134,1,6,SPEC,2,"3B P-DIE",
135,1,6,SPEC,3,ES,
136,1,6,SPEC,4,"128GB",
137,1,6,SPEC,5,"2RX4",
138,1,6,SPEC,6,"7200",
139,1,6,CHIP,1,,#E8E8E8
140,1,6,CHIP,2,,#E8E8E8
141,1,6,CHIP,3,,#E8E8E8
142,1,6,CHIP,4,,#E8E8E8
143,1,6,CHIP,5,,#E8E8E8
144,1,6,CHIP,6,"11 '24",#0070C0
145,1,6,CHIP,7,"12 '25",#FF6600
146,1,6,CHIP,8,,#E8E8E8
147,1,6,CHIP,9,,#E8E8E8
148,1,6,CHIP,10,,#E8E8E8
149,1,6,CHIP,11,,#E8E8E8
150,1,6,CHIP,12,,#E8E8E8
151,1,6,CHIP,13,,#E8E8E8
152,1,6,CHIP,14,,#E8E8E8
153,1,6,CHIP,15,"11 '24",#0070C0
154,1,6,CHIP,16,,#E8E8E8
155,1,7,SPEC,1,LRDIMM,
156,1,7,SPEC,2,"1A P-DIE",
157,1,7,SPEC,3,WC,
158,1,7,SPEC,4,"32GB",
159,1,7,SPEC,5,"2RX4",
160,1,7,SPEC,6,"5600",
161,1,7,CHIP,1,"12 '23",#00B050
162,1,7,CHIP,2,"01 '24",#0070C0
163,1,7,CHIP,3,,#E8E8E8
164,1,7,CHIP,4,,#E8E8E8
165,1,7,CHIP,5,,#E8E8E8
166,1,7,CHIP,6,,#E8E8E8
167,1,7,CHIP,7,,#E8E8E8
168,1,7,CHIP,8,,#E8E8E8
169,1,7,CHIP,9,,#E8E8E8
170,1,7,CHIP,10,,#E8E8E8
171,1,7,CHIP,11,,#E8E8E8
172,1,7,CHIP,12,"01 '24",#0070C0
173,1,7,CHIP,13,"02 '24",#0070C0
174,1,7,CHIP,14,,#E8E8E8
175,1,7,CHIP,15,,#E8E8E8
176,1,7,CHIP,16,,#E8E8E8
177,1,8,SPEC,1,LRDIMM,
178,1,8,SPEC,2,"2A P-DIE",
179,1,8,SPEC,3,WC,
180,1,8,SPEC,4,"128GB",
181,1,8,SPEC,5,"4RX4",
182,1,8,SPEC,6,"6400",
183,1,8,CHIP,1,,#E8E8E8
184,1,8,CHIP,2,"05 '24",#0070C0
185,1,8,CHIP,3,"07 '25",#FF6600
186,1,8,CHIP,4,"07 '25",#FF6600
187,1,8,CHIP,5,,#E8E8E8
188,1,8,CHIP,6,,#E8E8E8
189,1,8,CHIP,7,,#E8E8E8
190,1,8,CHIP,8,,#E8E8E8
191,1,8,CHIP,9,,#E8E8E8
192,1,8,CHIP,10,,#E8E8E8
193,1,8,CHIP,11,,#E8E8E8
194,1,8,CHIP,12,,#E8E8E8
195,1,8,CHIP,13,"06 '24",#0070C0
196,1,8,CHIP,14,"06 '24",#0070C0
197,1,8,CHIP,15,,#E8E8E8
198,1,8,CHIP,16,,#E8E8E8
199,1,9,SPEC,1,LRDIMM,
200,1,9,SPEC,2,"3A P-DIE",
201,1,9,SPEC,3,ES,
202,1,9,SPEC,4,"256GB",
203,1,9,SPEC,5,"4RX4",
204,1,9,SPEC,6,"7200",
205,1,9,CHIP,1,,#E8E8E8
206,1,9,CHIP,2,,#E8E8E8
207,1,9,CHIP,3,,#E8E8E8
208,1,9,CHIP,4,,#E8E8E8
209,1,9,CHIP,5,,#E8E8E8
210,1,9,CHIP,6,"10 '24",#0070C0
211,1,9,CHIP,7,"11 '25",#FF6600
212,1,9,CHIP,8,,#E8E8E8
213,1,9,CHIP,9,,#E8E8E8
214,1,9,CHIP,10,,#E8E8E8
215,1,9,CHIP,11,,#E8E8E8
216,1,9,CHIP,12,,#E8E8E8
217,1,9,CHIP,13,,#E8E8E8
218,1,9,CHIP,14,,#E8E8E8
219,1,9,CHIP,15,"10 '24",#0070C0
220,1,9,CHIP,16,,#E8E8E8
221,1,10,SPEC,1,SODIMM,
222,1,10,SPEC,2,"1A P-DIE",
223,1,10,SPEC,3,WC,
224,1,10,SPEC,4,"16GB",
225,1,10,SPEC,5,"1RX8",
226,1,10,SPEC,6,"5600",
227,1,10,CHIP,1,"08 '23",#00B050
228,1,10,CHIP,2,"10 '23",#00B050
229,1,10,CHIP,3,,#E8E8E8
230,1,10,CHIP,4,,#E8E8E8
457,2,4,CHIP,25,,#0A0A14
458,2,4,CHIP,26,"08 '24",#0070C0
459,2,4,CHIP,27,"08 '24",#0070C0
460,2,4,CHIP,28,,#0A0A14
461,2,4,CHIP,29,,#0A0A14
462,2,4,CHIP,30,,#0A0A14
463,2,4,CHIP,31,,#0A0A14
464,2,4,CHIP,32,"08 '24",#0070C0
465,2,4,CHIP,33,,#0A0A14
466,2,4,CHIP,34,,#0A0A14
467,2,4,CHIP,35,"07 '27",#FF0000
468,2,4,CHIP,36,,#0A0A14
469,2,4,CHIP,37,,#0A0A14
470,2,4,CHIP,38,,#0A0A14
471,2,5,SPEC,7,RDIMM,
472,2,5,SPEC,8,"3A P-DIE",
473,2,5,SPEC,9,ES,
474,2,5,SPEC,10,"64GB",
475,2,5,SPEC,11,"1RX4",
476,2,5,SPEC,12,"7200",
477,2,5,CHIP,17,,#0A0A14
478,2,5,CHIP,18,,#0A0A14
479,2,5,CHIP,19,,#0A0A14
480,2,5,CHIP,20,,#0A0A14
481,2,5,CHIP,21,,#0A0A14
482,2,5,CHIP,22,"09 '24",#0070C0
483,2,5,CHIP,23,"10 '25",#FF6600
484,2,5,CHIP,24,,#0A0A14
485,2,5,CHIP,25,,#0A0A14
486,2,5,CHIP,26,,#0A0A14
487,2,5,CHIP,27,"09 '24",#0070C0
488,2,5,CHIP,28,,#0A0A14
489,2,5,CHIP,29,,#0A0A14
490,2,5,CHIP,30,,#0A0A14
491,2,5,CHIP,31,,#0A0A14
492,2,5,CHIP,32,,#0A0A14
493,2,5,CHIP,33,,#0A0A14
494,2,5,CHIP,34,"10 '26",#7030A0
495,2,5,CHIP,35,,#0A0A14
496,2,5,CHIP,36,,#0A0A14
497,2,5,CHIP,37,,#0A0A14
498,2,5,CHIP,38,,#0A0A14
499,2,6,SPEC,7,RDIMM,
500,2,6,SPEC,8,"3B P-DIE",
501,2,6,SPEC,9,ES,
502,2,6,SPEC,10,"128GB",
503,2,6,SPEC,11,"2RX4",
504,2,6,SPEC,12,"7200",
505,2,6,CHIP,17,,#0A0A14
506,2,6,CHIP,18,,#0A0A14
507,2,6,CHIP,19,,#0A0A14
508,2,6,CHIP,20,,#0A0A14
509,2,6,CHIP,21,,#0A0A14
510,2,6,CHIP,22,"11 '24",#0070C0
511,2,6,CHIP,23,"12 '25",#FF6600
512,2,6,CHIP,24,,#0A0A14
513,2,6,CHIP,25,,#0A0A14
514,2,6,CHIP,26,,#0A0A14
515,2,6,CHIP,27,"11 '24",#0070C0
516,2,6,CHIP,28,,#0A0A14
517,2,6,CHIP,29,,#0A0A14
518,2,6,CHIP,30,,#0A0A14
519,2,6,CHIP,31,,#0A0A14
520,2,6,CHIP,32,,#0A0A14
521,2,6,CHIP,33,,#0A0A14
522,2,6,CHIP,34,"11 '26",#7030A0
523,2,6,CHIP,35,,#0A0A14
524,2,6,CHIP,36,,#0A0A14
525,2,6,CHIP,37,,#0A0A14
526,2,6,CHIP,38,,#0A0A14
527,2,7,SPEC,7,LRDIMM,
528,2,7,SPEC,8,"1A P-DIE",
529,2,7,SPEC,9,WC,
530,2,7,SPEC,10,"32GB",
531,2,7,SPEC,11,"2RX4",
532,2,7,SPEC,12,"5600",
533,2,7,CHIP,17,"12 '23",#00B050
534,2,7,CHIP,18,"01 '24",#0070C0
535,2,7,CHIP,19,,#0A0A14
536,2,7,CHIP,20,,#0A0A14
537,2,7,CHIP,21,,#0A0A14
538,2,7,CHIP,22,,#0A0A14
539,2,7,CHIP,23,,#0A0A14
540,2,7,CHIP,24,"01 '24",#0070C0
541,2,7,CHIP,25,"02 '24",#0070C0
542,2,7,CHIP,26,,#0A0A14
543,2,7,CHIP,27,,#0A0A14
544,2,7,CHIP,28,,#0A0A14
545,2,7,CHIP,29,,#0A0A14
546,2,7,CHIP,30,"04 '24",#0070C0
547,2,7,CHIP,31,"05 '24",#0070C0
548,2,7,CHIP,32,,#0A0A14
549,2,7,CHIP,33,,#0A0A14
550,2,7,CHIP,34,,#0A0A14
551,2,7,CHIP,35,,#0A0A14
552,2,7,CHIP,36,,#0A0A14
553,2,7,CHIP,37,,#0A0A14
554,2,7,CHIP,38,,#0A0A14
555,2,8,SPEC,7,LRDIMM,
556,2,8,SPEC,8,"2A P-DIE",
557,2,8,SPEC,9,WC,
558,2,8,SPEC,10,"128GB",
559,2,8,SPEC,11,"4RX4",
560,2,8,SPEC,12,"6400",
561,2,8,CHIP,17,,#0A0A14
562,2,8,CHIP,18,"05 '24",#0070C0
563,2,8,CHIP,19,"07 '25",#FF6600
564,2,8,CHIP,20,"07 '25",#FF6600
565,2,8,CHIP,21,,#0A0A14
566,2,8,CHIP,22,,#0A0A14
567,2,8,CHIP,23,,#0A0A14
568,2,8,CHIP,24,,#0A0A14
569,2,8,CHIP,25,"06 '24",#0070C0
570,2,8,CHIP,26,"06 '24",#0070C0
571,2,8,CHIP,27,,#0A0A14
572,2,8,CHIP,28,,#0A0A14
573,2,8,CHIP,29,,#0A0A14
574,2,8,CHIP,30,,#0A0A14
575,2,8,CHIP,31,,#0A0A14
576,2,8,CHIP,32,"09 '24",#0070C0
577,2,8,CHIP,33,,#0A0A14
578,2,8,CHIP,34,,#0A0A14
579,2,8,CHIP,35,,#0A0A14
580,2,8,CHIP,36,,#0A0A14
581,2,8,CHIP,37,,#0A0A14
582,2,8,CHIP,38,,#0A0A14
583,2,9,SPEC,7,LRDIMM,
584,2,9,SPEC,8,"3A P-DIE",
585,2,9,SPEC,9,ES,
586,2,9,SPEC,10,"256GB",
587,2,9,SPEC,11,"4RX4",
588,2,9,SPEC,12,"7200",
589,2,9,CHIP,17,,#0A0A14
590,2,9,CHIP,18,,#0A0A14
591,2,9,CHIP,19,,#0A0A14
592,2,9,CHIP,20,,#0A0A14
593,2,9,CHIP,21,,#0A0A14
594,2,9,CHIP,22,"10 '24",#0070C0
595,2,9,CHIP,23,"11 '25",#FF6600
596,2,9,CHIP,24,,#0A0A14
597,2,9,CHIP,25,,#0A0A14
598,2,9,CHIP,26,,#0A0A14
599,2,9,CHIP,27,"10 '24",#0070C0
600,2,9,CHIP,28,,#0A0A14
601,2,9,CHIP,29,,#0A0A14
602,2,9,CHIP,30,,#0A0A14
603,2,9,CHIP,31,,#0A0A14
604,2,9,CHIP,32,,#0A0A14
605,2,9,CHIP,33,,#0A0A14
606,2,9,CHIP,34,"12 '26",#7030A0
607,2,9,CHIP,35,,#0A0A14
608,2,9,CHIP,36,"08 '27",#FF0000
609,2,9,CHIP,37,,#0A0A14
610,2,9,CHIP,38,,#0A0A14
611,2,10,SPEC,7,SODIMM,
612,2,10,SPEC,8,"1A P-DIE",
613,2,10,SPEC,9,WC,
614,2,10,SPEC,10,"16GB",
615,2,10,SPEC,11,"1RX8",
616,2,10,SPEC,12,"5600",
617,2,10,CHIP,17,"08 '23",#00B050
618,2,10,CHIP,18,"10 '23",#00B050
619,2,10,CHIP,19,,#0A0A14
620,2,10,CHIP,20,,#0A0A14
621,2,10,CHIP,21,,#0A0A14
622,2,10,CHIP,22,,#0A0A14
623,2,10,CHIP,23,,#0A0A14
624,2,10,CHIP,24,,#0A0A14
625,2,10,CHIP,25,,#0A0A14
626,2,10,CHIP,26,,#0A0A14
627,2,10,CHIP,27,,#0A0A14
628,2,10,CHIP,28,,#0A0A14
629,2,10,CHIP,29,,#0A0A14
630,2,10,CHIP,30,,#0A0A14
631,2,10,CHIP,31,,#0A0A14
632,2,10,CHIP,32,,#0A0A14
633,2,10,CHIP,33,,#0A0A14
634,2,10,CHIP,34,,#0A0A14
635,2,10,CHIP,35,,#0A0A14
636,2,10,CHIP,36,,#0A0A14
637,2,10,CHIP,37,,#0A0A14
638,2,10,CHIP,38,,#0A0A14
639,2,11,SPEC,7,SODIMM,
640,2,11,SPEC,8,"1B P-DIE",
641,2,11,SPEC,9,WC,
642,2,11,SPEC,10,"32GB",
643,2,11,SPEC,11,"2RX8",
644,2,11,SPEC,12,"5600",
645,2,11,CHIP,17,"09 '23",#00B050
646,2,11,CHIP,18,"11 '23",#00B050
647,2,11,CHIP,19,,#0A0A14
648,2,11,CHIP,20,,#0A0A14
649,2,11,CHIP,21,,#0A0A14
650,2,11,CHIP,22,,#0A0A14
651,2,11,CHIP,23,,#0A0A14
652,2,11,CHIP,24,,#0A0A14
653,2,11,CHIP,25,,#0A0A14
654,2,11,CHIP,26,,#0A0A14
655,2,11,CHIP,27,,#0A0A14
656,2,11,CHIP,28,,#0A0A14
657,2,11,CHIP,29,,#0A0A14
658,2,11,CHIP,30,,#0A0A14
659,2,11,CHIP,31,,#0A0A14
660,2,11,CHIP,32,,#0A0A14
661,2,11,CHIP,33,,#0A0A14
662,2,11,CHIP,34,,#0A0A14
663,2,11,CHIP,35,,#0A0A14
664,2,11,CHIP,36,,#0A0A14
665,2,11,CHIP,37,,#0A0A14
666,2,11,CHIP,38,,#0A0A14
667,2,12,SPEC,7,CUDIMM,
668,2,12,SPEC,8,"2A P-DIE",
669,2,12,SPEC,9,WC,
670,2,12,SPEC,10,"32GB",
671,2,12,SPEC,11,"1RX8",
672,2,12,SPEC,12,"6400",
673,2,12,CHIP,17,,#0A0A14
674,2,12,CHIP,18,"03 '24",#0070C0
675,2,12,CHIP,19,"05 '25",#FF6600
676,2,12,CHIP,20,"05 '25",#FF6600
677,2,12,CHIP,21,,#0A0A14
678,2,12,CHIP,22,,#0A0A14
679,2,12,CHIP,23,,#0A0A14
680,2,12,CHIP,24,,#0A0A14
681,2,12,CHIP,25,,#0A0A14
682,2,12,CHIP,26,,#0A0A14
683,2,12,CHIP,27,,#0A0A14
684,2,12,CHIP,28,,#0A0A14
685,2,12,CHIP,29,,#0A0A14
686,2,12,CHIP,30,,#0A0A14
687,2,12,CHIP,31,,#0A0A14
688,2,12,CHIP,32,,#0A0A14
689,2,12,CHIP,33,,#0A0A14
690,2,12,CHIP,34,,#0A0A14
691,2,12,CHIP,35,,#0A0A14
692,2,12,CHIP,36,,#0A0A14
693,2,12,CHIP,37,,#0A0A14
694,2,12,CHIP,38,,#0A0A14
695,2,13,SPEC,7,MRDIMM,
696,2,13,SPEC,8,"3A P-DIE",
697,2,13,SPEC,9,ES,
698,2,13,SPEC,10,"128GB",
699,2,13,SPEC,11,"2RX4",
700,2,13,SPEC,12,"8000",
701,2,13,CHIP,17,,#0A0A14
702,2,13,CHIP,18,,#0A0A14
703,2,13,CHIP,19,,#0A0A14
704,2,13,CHIP,20,,#0A0A14
705,2,13,CHIP,21,,#0A0A14
706,2,13,CHIP,22,,#0A0A14
707,2,13,CHIP,23,,#0A0A14
708,2,13,CHIP,24,,#0A0A14
709,2,13,CHIP,25,,#0A0A14
710,2,13,CHIP,26,,#0A0A14
711,2,13,CHIP,27,,#0A0A14
712,2,13,CHIP,28,"07 '26",#7030A0
713,2,13,CHIP,29,,#0A0A14
714,2,13,CHIP,30,,#0A0A14
715,2,13,CHIP,31,,#0A0A14
716,2,13,CHIP,32,,#0A0A14
717,2,13,CHIP,33,,#0A0A14
718,2,13,CHIP,34,,#0A0A14
719,2,13,CHIP,35,,#0A0A14
720,2,13,CHIP,36,,#0A0A14
721,2,13,CHIP,37,"09 '27",#FF0000
722,2,13,CHIP,38,"10 '27",#FF0000
723,2,14,SPEC,7,MRDIMM,
724,2,14,SPEC,8,"4A P-DIE",
725,2,14,SPEC,9,ES,
726,2,14,SPEC,10,"256GB",
727,2,14,SPEC,11,"4RX4",
728,2,14,SPEC,12,"8800",
729,2,14,CHIP,17,,#0A0A14
730,2,14,CHIP,18,,#0A0A14
731,2,14,CHIP,19,,#0A0A14
732,2,14,CHIP,20,,#0A0A14
733,2,14,CHIP,21,,#0A0A14
734,2,14,CHIP,22,,#0A0A14
735,2,14,CHIP,23,,#0A0A14
736,2,14,CHIP,24,,#0A0A14
737,2,14,CHIP,25,,#0A0A14
738,2,14,CHIP,26,,#0A0A14
739,2,14,CHIP,27,,#0A0A14
740,2,14,CHIP,28,,#0A0A14
741,2,14,CHIP,29,,#0A0A14
742,2,14,CHIP,30,,#0A0A14
743,2,14,CHIP,31,,#0A0A14
744,2,14,CHIP,32,,#0A0A14
745,2,14,CHIP,33,,#0A0A14
746,2,14,CHIP,34,,#0A0A14
747,2,14,CHIP,35,,#0A0A14
748,2,14,CHIP,36,,#0A0A14
749,2,14,CHIP,37,"11 '27",#FF0000
750,2,14,CHIP,38,"12 '27",#FF0000
751,3,0,SPEC,13,"LP6
1295b 14x14
1070Mbps",
752,3,0,SPEC,14,"16GB",
753,3,0,SPEC,15,"1bnm 16Gb",
754,3,0,SPEC,16,PDBEREAGY0B1,
755,3,0,SPEC,17,VP,
756,3,0,CHIP,50,,#E8E8E8
757,3,0,CHIP,39,VP,#00B050
758,3,0,CHIP,40,,#E8E8E8
759,3,0,CHIP,41,,#E8E8E8
760,3,0,CHIP,42,,#E8E8E8
761,3,0,CHIP,43,,#E8E8E8
762,3,0,CHIP,44,,#E8E8E8
763,3,0,CHIP,45,,#E8E8E8
764,3,0,CHIP,46,,#E8E8E8
765,3,0,CHIP,47,,#E8E8E8
766,3,0,CHIP,48,,#E8E8E8
767,3,0,CHIP,49,,#E8E8E8
768,3,1,SPEC,13,"LP5X,496b
14x12.4
10700Mbps",
769,3,1,SPEC,14,"12GB",
770,3,1,SPEC,15,"1bnm 12Gb",
771,3,1,SPEC,16,K3KL4L40FA-BGCY,
772,3,1,SPEC,17,VL,
773,3,1,CHIP,50,,#E8E8E8
774,3,1,CHIP,39,,#E8E8E8
775,3,1,CHIP,40,,#E8E8E8
776,3,1,CHIP,41,,#E8E8E8
777,3,1,CHIP,42,,#E8E8E8
778,3,1,CHIP,43,,#E8E8E8
779,3,1,CHIP,44,,#E8E8E8
780,3,1,CHIP,45,,#E8E8E8
781,3,1,CHIP,46,,#E8E8E8
782,3,1,CHIP,47,VL,#FF6600
783,3,1,CHIP,48,,#E8E8E8
784,3,1,CHIP,49,,#E8E8E8
785,3,2,SPEC,13,,
786,3,2,SPEC,14,"16GB",
787,3,2,SPEC,15,"1bnm 16Gb",
788,3,2,SPEC,16,K3KL5L50EB-BGCY,
789,3,2,SPEC,17,VH,
790,3,2,CHIP,50,,#E8E8E8
791,3,2,CHIP,39,,#E8E8E8
792,3,2,CHIP,40,,#E8E8E8
793,3,2,CHIP,41,,#E8E8E8
794,3,2,CHIP,42,,#E8E8E8
795,3,2,CHIP,43,,#E8E8E8
796,3,2,CHIP,44,,#E8E8E8
797,3,2,CHIP,45,,#E8E8E8
798,3,2,CHIP,46,,#E8E8E8
799,3,2,CHIP,47,,#E8E8E8
800,3,2,CHIP,48,VH,#0070C0
801,3,2,CHIP,49,,#E8E8E8
802,3,3,SPEC,13,,
803,3,3,SPEC,14,"24GB",
804,3,3,SPEC,15,"1bnm 16Gb",
805,3,3,SPEC,16,K3KLELE0EA-BGCY,
806,3,3,SPEC,17,VH,
807,3,3,CHIP,50,,#E8E8E8
808,3,3,CHIP,39,,#E8E8E8
809,3,3,CHIP,40,,#E8E8E8
810,3,3,CHIP,41,,#E8E8E8
811,3,3,CHIP,42,,#E8E8E8
812,3,3,CHIP,43,,#E8E8E8
813,3,3,CHIP,44,,#E8E8E8
814,3,3,CHIP,45,,#E8E8E8
815,3,3,CHIP,46,,#E8E8E8
816,3,3,CHIP,47,,#E8E8E8
817,3,3,CHIP,48,,#E8E8E8
818,3,3,CHIP,49,VH,#0070C0
819,3,4,SPEC,13,"LP7
272b 14x12
9600Mbps",
820,3,4,SPEC,14,"12GB",
821,3,4,SPEC,15,"1bnm 12Gb",
822,3,4,SPEC,16,K3KL3L30FM-BGCR,
823,3,4,SPEC,17,VH,
824,3,4,CHIP,50,VH,#0070C0
825,3,4,CHIP,39,,#E8E8E8
826,3,4,CHIP,40,,#E8E8E8
827,3,4,CHIP,41,,#E8E8E8
828,3,4,CHIP,42,,#E8E8E8
829,3,4,CHIP,43,,#E8E8E8
830,3,4,CHIP,44,,#E8E8E8
831,3,4,CHIP,45,,#E8E8E8
832,3,4,CHIP,46,,#E8E8E8
833,3,4,CHIP,47,,#E8E8E8
834,3,4,CHIP,48,,#E8E8E8
835,3,4,CHIP,49,,#E8E8E8
836,3,5,SPEC,13,"LP8X,496b
14x12.4
12800Mbps",
837,3,5,SPEC,14,"8GB",
838,3,5,SPEC,15,"1bnm 8Gb",
839,3,5,SPEC,16,K3KK3K30CM-BGCR,
840,3,5,SPEC,17,VL,
841,3,5,CHIP,50,,#E8E8E8
842,3,5,CHIP,39,,#E8E8E8
843,3,5,CHIP,40,,#E8E8E8
844,3,5,CHIP,41,,#E8E8E8
845,3,5,CHIP,42,,#E8E8E8
846,3,5,CHIP,43,,#E8E8E8
847,3,5,CHIP,44,,#E8E8E8
848,3,5,CHIP,45,,#E8E8E8
849,3,5,CHIP,46,,#E8E8E8
850,3,5,CHIP,47,,#E8E8E8
851,3,5,CHIP,48,,#E8E8E8
852,3,5,CHIP,49,VL,#FF6600
853,3,6,SPEC,13,,
854,3,6,SPEC,14,"12GB",
855,3,6,SPEC,15,"1bnm 12Gb",
856,3,6,SPEC,16,K3KL3L30GM-BGCR,
857,3,6,SPEC,17,VL,
858,3,6,CHIP,50,VL,#FF6600
859,3,6,CHIP,39,,#E8E8E8
860,3,6,CHIP,40,,#E8E8E8
861,3,6,CHIP,41,,#E8E8E8
862,3,6,CHIP,42,,#E8E8E8
863,3,6,CHIP,43,,#E8E8E8
864,3,6,CHIP,44,,#E8E8E8
865,3,6,CHIP,45,,#E8E8E8
866,3,6,CHIP,46,,#E8E8E8
